Store,Sales_recent,customer_recent,Sales_total,customer_total,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
177,-1.254072337,-0.724672724,-1.102868151,-0.653526871,a,a,1250.0,2.0,2004.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
178,1.3170972635,0.4279357469,1.3338335732,0.4686130049,d,a,1710.0,,,0,,,
179,0.1745629273,0.557710725,0.2129818466,0.5480866295,a,c,480.0,,,0,,,
180,0.1196900244,0.2013306114,0.201455711,0.2740253866,d,a,5800.0,9.0,2010.0,0,,,
181,-0.352283265,-0.303620399,-0.661611542,-0.52833589,a,a,12610.0,3.0,2013.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
182,-0.556783522,-0.834597668,-0.576276833,-0.824930853,d,c,1390.0,,,1,9.0,2011.0,"Mar,Jun,Sept,Dec"
183,-0.870736571,-0.480266399,-1.189763354,-0.690562263,a,a,9670.0,,,0,,,
184,-0.185731581,-0.443283277,-0.073621297,-0.376760925,d,c,3560.0,,,0,,,
185,0.1400873532,-0.530344308,0.1815900262,-0.492876053,d,c,1860.0,5.0,2015.0,0,,,
186,-1.240078134,-0.975567056,-1.493297736,-1.117977534,a,a,290.0,10.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
187,-0.331892751,0.0093628198,-0.176351549,0.1002416603,a,c,19360.0,,,0,,,
188,-0.682399721,-0.767713299,-0.70854681,-0.775392775,d,a,850.0,,,1,18.0,2011.0,"Feb,May,Aug,Nov"
189,0.5674068473,0.1371928805,0.7988991186,0.2445559417,d,a,5760.0,7.0,2014.0,0,,,
190,0.2570517235,-0.178596364,-0.404691617,-0.556430006,a,a,1470.0,12.0,2006.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
191,-0.140466774,-0.156623252,-0.519451257,-0.43851612,a,a,1100.0,8.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
192,2.3006073923,0.3051684098,0.1747776603,-0.578258009,d,c,2770.0,3.0,2008.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
193,-0.741020463,-0.034152849,-0.564301767,0.0975960408,a,a,520.0,,,0,,,
194,-0.846984358,-0.871016616,-0.776357857,-0.830783383,d,c,16970.0,,,1,5.0,2013.0,"Feb,May,Aug,Nov"
195,1.5403957705,1.3902095632,1.5774782755,1.4241346477,a,c,220.0,,,0,,,
196,-0.692373515,-0.153342132,-0.60895241,-0.107258945,c,a,3850.0,11.0,2005.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
197,-0.063776906,0.2054876865,0.0514329942,0.2715602994,c,a,4210.0,3.0,2015.0,0,,,
198,-1.707449532,-1.105742895,-1.53699927,-1.027150066,a,a,290.0,9.0,2002.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
199,0.5636431086,-0.273941851,0.4766357275,-0.298915374,d,c,6360.0,12.0,2010.0,1,14.0,2012.0,"Mar,Jun,Sept,Dec"
200,0.3065708954,0.5434578959,0.3863509967,0.5783143104,a,a,1650.0,10.0,2000.0,0,,,
201,-0.69664378,-0.838294496,-0.60379176,-0.760113173,d,a,20260.0,,,1,18.0,2014.0,"Mar,Jun,Sept,Dec"
202,-0.219053275,-0.559607148,-0.271632937,-0.590114061,d,c,5140.0,5.0,2010.0,0,,,
203,-0.027699983,0.3785704796,0.0157901714,0.3693957056,c,c,490.0,11.0,2002.0,0,,,
204,-0.572803829,-0.616796624,-0.950636143,-0.825777713,a,a,5630.0,12.0,2002.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
205,-0.220965808,0.3058068178,-0.073058597,0.3665334472,a,a,110.0,12.0,2007.0,0,,,
206,0.3328693667,0.2409861389,0.158000166,0.1493825671,a,c,380.0,,,1,14.0,2012.0,"Jan,Apr,Jul,Oct"
207,1.6338668701,1.3376225626,1.794179976,1.4504398529,a,a,6870.0,,,0,,,
208,-1.625585376,-0.892455247,-1.519688287,-0.83193879,c,a,300.0,4.0,2006.0,0,,,
209,-0.321589601,-0.331903356,-0.17373125,-0.22495291,a,c,11680.0,9.0,2011.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
210,-1.54418686,-1.136906112,-1.424335664,-1.061726935,d,a,970.0,11.0,1999.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
211,2.6010068934,2.0045955765,2.5214621668,1.9276098412,a,c,350.0,11.0,2006.0,0,,,
212,-1.003289679,-0.845821771,-0.780663182,-0.710253419,a,c,15050.0,9.0,2008.0,0,,,
213,0.5808082103,-0.225511926,0.5466365916,-0.227106169,d,c,4030.0,3.0,2014.0,1,1.0,2014.0,"Jan,Apr,Jul,Oct"
214,0.9526937614,-0.158820563,1.0260338398,-0.066566952,d,a,8650.0,7.0,2013.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
215,-0.263384529,-0.696478847,-0.690178073,-0.896589067,d,a,150.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
216,-0.031570478,0.2476374592,0.1745250088,0.3650629291,c,a,190.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
217,-0.851534007,-0.246252762,-0.810704111,-0.241578299,c,a,3150.0,,,0,,,
218,-0.86528744,-0.223552162,-1.099711288,-0.474163054,a,c,640.0,,,1,9.0,2011.0,"Mar,Jun,Sept,Dec"
219,-1.570994129,-0.922564348,-1.448397516,-0.8566947,a,a,1640.0,2.0,2013.0,0,,,
220,-0.898568249,-0.358805571,-0.748235132,-0.254018619,a,a,1000.0,9.0,2008.0,0,,,
